Conference,Year,Title,Predominant Continent
ic2e,2016,Building Compliance and Security Reference Architectures (CSRA) for Cloud Systems.,NA
ic2e,2016,Barrier-Aware Max-Min Fair Bandwidth Sharing and Path Selection in Datacenter Networks.,NA
ic2e,2016,Phurti: Application and Network-Aware Flow Scheduling for Multi-tenant MapReduce Clusters.,NA
ic2e,2016,Exploring the Use of Tags for Georeplicated Content Placement.,
ic2e,2016,"Multi-cache: Dynamic, Efficient Partitioning for Multi-tier Caches in Consolidated VM Environments.",NA
ic2e,2016,Container-Based Cloud Virtual Machine Benchmarking.,EU
ic2e,2016,Container and Microservice Driven Design for Cloud Infrastructure DevOps.,
ic2e,2017,iCSI: A Cloud Garbage VM Collector for Addressing Inactive VMs with Machine Learning.,
ic2e,2017,Dark Shadows: User-Level Guest/Host Linux Process Shadowing.,NA
ic2e,2017,BalCon: A Distributed Elastic SDN Control via Efficient Switch Migration.,EU
ic2e,2017,Agile Composition of Compliant Data Analytics Platforms.,NA
ic2e,2017,An Early Functional and Performance Experiment of the MarFS Hybrid Storage EcoSystem.,NA
ic2e,2017,Columbus: Filesystem Tree Introspection for Software Discovery.,AS
ic2e,2017,GENPACK: A Generational Scheduler for Cloud Data Centers.,EU
ic2e,2017,CloudGC: Recycling Idle Virtual Machines in the Cloud.,EU
ic2e,2017,CoMICon: A Co-Operative Management System for Docker Container Images.,AS
ic2e,2017,Cloud Engineering Principles and Technology Enablers for Medical Image Processing-as-a-Service.,NA
ic2e,2017,Revising OpenStack to Operate Fog/Edge Computing Infrastructures.,EU
ic2e,2017,Meeting Latency Target in Transient Burst: A Case on Spark Streaming.,EU
ic2e,2017,Mitigating Resource Contention and Heterogeneity in Public Clouds for Scientific Modeling Services.,
ic2e,2017,One Time Trapdoor Based Searchable Encryption.,AS
ic2e,2017,QUEST: Search-Driven Management of Cloud-Scale Data Centers.,NA
ic2e,2017,Performance Impact of DDoS Attacks on Three Virtual Machine Hypervisors.,NA
ic2e,2017,Trustworthy Services Built on Event-Based Probing for Layered Defense.,NA
ic2e,2017,VirtusCap: Capability-Based Access Control for Unikernels.,
ic2e,2018,Understanding Real-World Timeout Problems in Cloud Server Systems.,NA
ic2e,2018,Hybrid Adaptive Checkpointing for Virtual Machine Fault Tolerance.,EU
ic2e,2018,STANlite - A Database Engine for Secure Data Processing at Rack-Scale Level.,EU
ic2e,2018,Automatic Dependency Management for Scientific Applications on Clusters.,NA
ic2e,2018,Tracking Causal Order in AWS Lambda Applications.,EU
ic2e,2018,M2: Malleable Metal as a Service.,NA
ic2e,2018,Deterministic Container Resource Management in Derivative Clouds.,AS
ic2e,2018,Cross-Layer Optimization for Virtual Machine Resource Management.,NA
ic2e,2018,OPTiC: Opportunistic Graph Processing in Multi-Tenant Clusters.,NA
ic2e,2018,Deadline-Aware Scheduling and Routing for Inter-Datacenter Multicast Transfers.,NA
ic2e,2018,"Towards an Adaptive, Fully Automated Performance Modeling Methodology for Cloud Applications.",EU
ic2e,2018,Serverless Computing: An Investigation of Factors Influencing Microservice Performance.,NA
ic2e,2018,Massive-Scale Deployments in Cloud: The Case of OpenStack Networking.,EU
ic2e,2018,Geospatial Analytics in the Large for Monitoring Depth of Cover for Buried Pipeline Infrastructure.,EU
ic2e,2018,Giving Customers Control Over Their Data: Integrating a Policy Language into the Cloud.,EU
ic2e,2018,Scalable Key Management for Distributed Cloud Storage.,EU
ic2e,2019,Query-Driven Descriptive Analytics for IoT and Edge Computing.,AS
ic2e,2019,MESH: A Flexible Distributed Hypergraph Processing System.,NA
ic2e,2019,BARISTA: Efficient and Scalable Serverless Serving System for Deep Learning Prediction Services.,NA
ic2e,2019,Towards Self-Managing Cloud Storage with Reinforcement Learning.,NA
ic2e,2019,Information Models: Creating and Preserving Value in Volatile Cloud Resources.,NA
ic2e,2019,Toward a Workload Allocation Optimizer for Power Saving in Data Centers.,AS
ic2e,2019,Edge-Cloud Orchestration: Strategies for Service Placement and Enactment.,EU
ic2e,2019,Edge-Assisted Detection and Summarization of Key Global Events from Distributed Crowd-Sensed Data.,NA
ic2e,2019,"Edge Intelligence: The Convergence of Humans, Things, and AI.",EU
ic2e,2019,The Future of Computing is Boring (and that is exciting!).,NA
ic2e,2019,Host Hypervisor Trace Mining for Virtual Machine Workload Characterization.,NA
ic2e,2019,ModelOps: Cloud-Based Lifecycle Management for Reliable and Trusted AI.,NA
ic2e,2019,A Study on Container Vulnerability Exploit Detection.,NA
ic2e,2019,ShadeNF: Testing Online Network Functions.,NA
ic2e,2019,Importance of Application-Level Resource Management in Multi-Cloud Deployments.,EU
ic2e,2019,Understanding Synchronization Costs for Distributed ML on Transient Cloud Resources.,NA
ic2e,2019,Addressing the Fragmentation Problem in Distributed and Decentralized Edge Computing: A Vision.,NA
ic2e,2019,ConfAdvisor: A Performance-centric Configuration Tuning Framework for Containers on Kubernetes.,AS
ic2e,2019,Maintenance Scheduling for Cloud Infrastructure with Timing Constraints of Live Migration.,AS
ic2e,2019,ContainerVisor: Customized Control of Container Resources.,NA
ic2e,2019,Predicting the End-to-End Tail Latency of Containerized Microservices in the Cloud.,NA
ic2e,2019,FECBench: A Holistic Interference-aware Approach for Application Performance Modeling.,NA
ic2e,2019,Analyzing AWS Spot Instance Pricing.,NA
ic2e,2020,IoTWC: Analytic Hierarchy Process Based Internet of Things Workflow Composition System.,EU
ic2e,2020,CloudPush: Smart Delivery of Push Notification to Secure Multi-User Support for IoT Devices.,AS
ic2e,2020,Smart Food Scanner System Based on Mobile Edge Computing.,OC
ic2e,2020,MDINFERENCE: Balancing Inference Accuracy and Latency for Mobile Applications.,NA
ic2e,2020,EdgeSum: Edge-Based Video Summarization with Dash Cams.,OC
ic2e,2020,Energy-Aware Resource Management in Vehicular Edge Computing Systems.,NA
ic2e,2020,Facilitating plausible deniability for cloud providers regarding tenants' activities using trusted execution.,EU
ic2e,2020,PERSEUS: Characterizing Performance and Cost of Multi-Tenant Serving for CNN Models.,
ic2e,2020,uPredict: A User-Level Profiler-Based Predictive Framework in Multi-Tenant Clouds.,NA
ic2e,2020,Data Flow Dependent Component Placement of Data Processing Cloud Applications.,EU
ic2e,2020,Realising Edge Analytics for Early Prediction of Readmission: A Case Study.,OC
ic2e,2020,Hedge Your Bets: Optimizing Long-term Cloud Costs by Mixing VM Purchasing Options.,NA
ic2e,2020,RLSK: A Job Scheduler for Federated Kubernetes Clusters based on Reinforcement Learning.,AS
ic2e,2020,On The Scalability of Blockchain Systems.,OC
ic2e,2020,Decentralized Runtime Monitoring Approach Relying on the Ethereum Blockchain Infrastructure.,OC
ic2e,2020,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing.,AS
ic2e,2020,The Ifs and Buts of Less is More: A Serverless Computing Reality Check.,EU
ic2e,2020,Characterizing Public Cloud Resource Contention to Support Virtual Machine Co-residency Prediction.,NA
ic2e,2020,Towards Non-Intrusive Software Introspection and Beyond.,NA
ic2e,2021,BeFaaS: An Application-Centric Benchmarking Framework for FaaS Platforms.,EU
ic2e,2021,Container Workload Characterization Through Host System Tracing.,NA
ic2e,2021,DeepEdgeBench: Benchmarking Deep Neural Networks on Edge Devices.,EU
ic2e,2021,A Comprehensive Performance Evaluation of Different Kubernetes CNI Plugins for Edge-based and Containerized Publish/Subscribe Applications.,NA
ic2e,2021,C3O: Collaborative Cluster Configuration Optimization for Distributed Data Processing in Public Clouds.,EU
ic2e,2021,Short Paper: Highly Compatible Fast Container Startup with Lazy Layer Pull.,AS
ic2e,2021,Optimizing Goodput of Real-time Serverless Functions using Dynamic Slicing with vGPUs.,AS
ic2e,2021,Energy and Runtime Performance Optimization of Node.js Web Requests.,NA
ic2e,2021,FaaSter Troubleshooting - Evaluating Distributed Tracing Approaches for Serverless Applications.,EU
ic2e,2021,Evaluation of Load Prediction Techniques for Distributed Stream Processing.,EU
ic2e,2021,Quantifying and Improving Performance of Distributed Deep Learning with Cloud Storage.,NA
ic2e,2021,Cocoa: Towards a Scalable Compute Cost-aware Data Analytics System.,NA
ic2e,2021,NEUKONFIG: Reducing Edge Service Downtime When Repartitioning DNNs.,
ic2e,2021,SLO-aware Virtual Rebalancing for Edge Stream Processing.,NA
ic2e,2021,LIBRA: An Economical Hybrid Approach for Cloud Applications with Strict SLAs.,NA
ic2e,2021,Community-based Placement of Registries to Speed up Application Deployment on Edge Computing.,SA
ic2e,2021,Forecasting SQL Query Cost at Twitter.,NA
ic2e,2021,Memory-Efficient Deep Learning Inference in Trusted Execution Environments.,NA
ic2e,2021,Nomad: Cross-Platform Computational Offloading and Migration in Femtoclouds Using WebAssembly.,NA
ic2e,2021,PEDaLS: Persisting Versioned Data Structures.,NA
ic2e,2021,Edge MLOps: An Automation Framework for AIoT Applications.,EU
ic2e,2021,Distributed Framework for Accelerating Training of Deep Learning Models through Prioritization.,
ic2e,2021,Credentials as a Service Providing Self Sovereign Identity as a Cloud Service Using Trusted Execution Environments.,AS
ic2e,2021,Auto-adaptive Fault Prediction System for Edge Cloud Environments in the Presence of Concept Drift.,NA
ic2e,2021,On the Future of Cloud Engineering.,NA
ic2e,2022,Network Emulation in Large-Scale Virtual Edge Testbeds: A Note of Caution and the Way Forward.,EU
ic2e,2022,IoTreeplay: Synchronous Distributed Traffic Replay in IoT Environments.,EU
ic2e,2022,Integration of C-V2X Into a Hybrid Testbed to Co-Simulate ITS Applications and Scenarios.,EU
ic2e,2022,An End-to-End Framework for Benchmarking Edge-Cloud Cluster Management Techniques.,EU
ic2e,2022,Towards Energy Consumption and Carbon Footprint Testing for AI-driven IoT Services.,AS
ic2e,2022,Decentralized Computation Market for Stream Processing Applications.,NA
ic2e,2022,Efficient Transmission and Reconstruction of Dependent Data Streams via Edge Sampling.,NA
ic2e,2022,Get Your Memory Right: The Crispy Resource Allocation Assistant for Large-Scale Data Processing.,EU
ic2e,2022,Streaming vs. Functions: A Cost Perspective on Cloud Event Processing.,EU
ic2e,2022,HARDLESS: A Generalized Serverless Compute Architecture for Hardware Processing Accelerators.,EU
ic2e,2022,Fusionize: Improving Serverless Application Performance through Feedback-Driven Function Fusion.,EU
ic2e,2022,TriggerBench: A Performance Benchmark for Serverless Function Triggers.,EU
ic2e,2022,Function Memory Optimization for Heterogeneous Serverless Platforms with CPU Time Accounting.,NA
ic2e,2022,Pay-as-you-Train: Efficient ways of Serverless Training.,AS
ic2e,2022,Log-Based CRDT for Edge Applications.,NA
ic2e,2022,Privacy-Preserving Storage in the Fog.,EU
ic2e,2022,Magpie: Automatically Tuning Static Parameters for Distributed File Systems using Deep Reinforcement Learning.,EU
ic2e,2022,Novel Abstraction and Offload Mechanisms for High Performance Cloud-native Distributed Object Stores.,NA
ic2e,2022,4DHI: An index for approximate kNN search of remotely sensed images in Key-Value databases.,EU
ic2e,2022,Scalable Collaborative Software Visualization as a Service: Short Industry and Experience Paper.,EU
ic2e,2022,CloudBruno: A Low-Overhead Online Workload Prediction Framework for Cloud Computing.,NA
ic2e,2022,UnifiedNetManagement: Unified Network Management for Heterogeneous Edge Enterprise Network.,NA
ic2e,2022,Optimum VM Placement for NFV Infrastructures.,EU
ic2e,2022,Workload-aware Dynamic GPU Resource Management in Component-based Applications.,NA
ic2e,2022,MicroBlind: Flexible and Secure File System Middleware for Application Sandboxes.,AS
ic2e,2022,Guarding Against Universal Adversarial Perturbations in Data-driven Cloud/Edge Services.,NA
ic2e,2022,Understanding Software Security Vulnerabilities in Cloud Server Systems.,NA
ic2e,2022,Automated Traces-based Anomaly Detection and Root Cause Analysis in Cloud Platforms.,NA
ic2e,2022,PACED: Provenance-based Automated Container Escape Detection.,NA
ic2e,2023,Efficient Container Image Updating in Low-bandwidth Networks with Delta Encoding.,AS
ic2e,2023,Protocol-Independent Context Propagation for Sharing Microservices in Multiple Environments.,AS
ic2e,2023,Enriching Cloud-native Applications with Sustainability Features.,EU
ic2e,2023,Breaking the Vicious Circle: Self-Adaptive Microservice Circuit Breaking and Retry.,EU
ic2e,2023,A Framework for Enabling Cloud Services to Leverage Energy Data.,EU
ic2e,2023,Energy-efficient OECT Sensor Data Analysis on Constrained Edge Devices.,EU
ic2e,2023,"Towards Serverless Sky Computing: An Investigation on Global Workload Distribution to Mitigate Carbon Intensity, Network Latency, and Cost.",NA
ic2e,2023,GreenCoin: A Renewable Energy-Aware Cryptocurrency.,NA
ic2e,2023,CloudFactory: An Open Toolkit to Generate Production-like Workloads for Cloud Infrastructures.,EU
ic2e,2023,Towards a Benchmark for Fog Data Processing.,EU
ic2e,2023,Studying the Energy Consumption of Stream Processing Engines in the Cloud.,EU
ic2e,2023,Inducing Huge Tail Latency on a MongoDB deployment.,EU
ic2e,2023,Learning to Score: Tuning Cluster Schedulers through Reinforcement Learning.,EU
ic2e,2023,A Reinforcement Learning Approach for Performance-aware Reduction in Power Consumption of Data Center Compute Nodes.,NA
ic2e,2023,Voda: A GPU Scheduling Platform for Elastic Deep Learning in Kubernetes Clusters.,AS
ic2e,2023,Exploring the Impact of Serverless Computing on Peer To Peer Training Machine Learning.,NA
ic2e,2023,Cost-Effective Scheduling for Kubernetes in the Edge-to-Cloud Continuum.,EU
ic2e,2023,Vela: A 3-Phase Distributed Scheduler for the Edge-Cloud Continuum.,EU
ic2e,2023,Multi-Objective Workflow Scheduling to Serverless Architecture in a Multi-Cloud Environment.,AS
ic2e,2023,REFORM: Increase alerts value using data driven approach.,NA
ic2e,2023,Service Function Chaining Implementation using VNFs and CNFs.,NA
ic2e,2023,Evaluation of Data Enrichment Methods for Distributed Stream Processing Systems.,EU
ic2e,2023,A Crowdsensing Approach for Deriving Surface Quality of Cycling Infrastructure.,EU
nsdi,2012,CORFU: A Shared Log Design for Flash Clusters.,NA
nsdi,2012,Resilient Distributed Datasets: A Fault-Tolerant Abstraction for In-Memory Cluster Computing.,NA
nsdi,2012,Camdoop: Exploiting In-network Aggregation for Big Data Applications.,EU
nsdi,2012,WiFi-NC : WiFi Over Narrow Channels.,AS
nsdi,2012,Catching Whales and Minnows Using WiFiNet: Deconstructing Non-WiFi Interference Using WiFi Hardware.,NA
nsdi,2012,RPT: Re-architecting Loss Protection for Content-Aware Networks.,NA
nsdi,2012,Serval: An End-Host Stack for Service-Centric Networking.,NA
nsdi,2012,Reliable Client Accounting for P2P-Infrastructure Hybrids.,NA
nsdi,2012,Header Space Analysis: Static Checking for Networks.,NA
nsdi,2012,A NICE Way to Test OpenFlow Applications.,EU
nsdi,2012,Toward Predictable Performance in Software Packet-Processing Platforms.,EU
nsdi,2012,Detecting and Defending Against Third-Party Tracking on the Web.,NA
nsdi,2012,Towards Statistical Queries over Distributed Private User Data.,EU
nsdi,2012,Koi: A Location-Privacy Platform for Smartphone Apps.,AS
nsdi,2012,Aiding the Detection of Fake Accounts in Large Scale Social Online Services.,NA
nsdi,2012,Don't Lose Sleep Over Availability: The GreenUp Decentralized Wakeup Service.,NA
nsdi,2012,Jellyfish: Networking Data Centers Randomly.,NA
nsdi,2012,OSA: An Optical Switching Architecture for Data Center Networks with Unprecedented Flexibility.,NA
nsdi,2012,Less Is More: Trading a Little Bandwidth for Ultra-Low Latency in the Data Center.,NA
nsdi,2012,PACMan: Coordinated Memory Caching for Parallel Jobs.,NA
nsdi,2012,Reoptimizing Data Parallel Computing.,NA
nsdi,2012,Optimizing Data Shuffling in Data-Parallel Computation by Understanding User-Defined Functions.,AS
nsdi,2012,XIA: Efficient Support for Evolvable Internetworking.,NA
nsdi,2012,Design and Implementation of a Consolidated Middlebox Architecture.,NA
nsdi,2012,An Operating System for the Home.,NA
nsdi,2012,Structured Comparative Analysis of Systems Logs to Diagnose Performance Problems.,NA
nsdi,2012,Orchestrating the Deployment of Computations in the Cloud with Conductor.,EU
nsdi,2012,Fitting Square Pegs Through Round Pipes: Unordered Delivery Wire-Compatible with TCP and TLS.,NA
nsdi,2012,How Hard Can It Be? Designing and Implementing a Deployable Multipath TCP.,EU
nsdi,2012,The TCP Outcast Problem: Exposing Unfairness in Data Center Networks.,NA
nsdi,2013,Composing Software Defined Networks.,NA
nsdi,2013,VeriFlow: Verifying Network-Wide Invariants in Real Time.,NA
nsdi,2013,Software Defined Traffic Measurement with OpenSketch.,NA
nsdi,2013,V-edge: Fast Self-constructive Power Modeling of Smartphones Based on Battery Voltage Dynamics.,NA
nsdi,2013,eDoctor: Automatically Diagnosing Abnormal Battery Drain Issues on Smartphones.,NA
nsdi,2013,ArrayTrack: A Fine-Grained Indoor Location System.,EU
nsdi,2013,Walkie-Markie: Indoor Pathway Mapping Made Easy.,AS
nsdi,2013,Real Time Network Policy Checking Using Header Space Analysis.,NA
nsdi,2013,Ensuring Connectivity via Data Plane Mechanisms.,NA
nsdi,2013,Juggling the Jigsaw: Towards Automated Problem Inference from Network Trouble Tickets.,NA
nsdi,2013,Yank: Enabling Green Data Centers to Pull the Plug.,NA
nsdi,2013,Scalable Rule Management for Data Centers.,NA
nsdi,2013,Chatty Tenants and the Cloud Network Sharing Problem.,EU
nsdi,2013,Effective Straggler Mitigation: Attack of the Clones.,NA
nsdi,2013,Wire Speed Name Lookup: A GPU-based Approach.,AS
nsdi,2013,SoNIC: Precise Realtime Software Access and Control of Wired Networks.,NA
nsdi,2013,Split/Merge: System Support for Elastic Execution in Virtual Middleboxes.,NA
nsdi,2013,PinPoint: Localizing Interfering Radios.,NA
nsdi,2013,SloMo: Downclocking WiFi Communication.,NA
nsdi,2013,Splash: Fast Data Dissemination with Constructive Interference in Wireless Sensor Networks.,AS
nsdi,2013,Expanding Rural Cellular Networks with Virtual Coverage.,NA
nsdi,2013,EyeQ: Practical Network Performance Isolation at the Edge.,NA
nsdi,2013,Stronger Semantics for Low-Latency Geo-Replicated Storage.,NA
nsdi,2013,Bobtail: Avoiding Long Tails in the Cloud.,NA
nsdi,2013,Rhea: Automatic Filtering for Unstructured Cloud Storage.,EU
nsdi,2013,Robustness in the Salus Scalable Block Store.,NA
nsdi,2013,MemC3: Compact and Concurrent MemCache with Dumber Caching and Smarter Hashing.,NA
nsdi,2013,Scaling Memcache at Facebook.,NA
nsdi,2013,F10: A Fault-Tolerant Engineered Network.,NA
nsdi,2013,LOUP: The Principles and Practice of Intra-Domain Route Dissemination.,EU
nsdi,2013,Improving Availability in Distributed Systems with Failure Informers.,NA
nsdi,2013,BOSS: Building Operating System Services.,NA
nsdi,2013,Stochastic Forecasts Achieve High Throughput and Low Delay over Cellular Networks.,NA
nsdi,2013,Demystifying Page Load Performance with WProf.,NA
nsdi,2013,Dasu: Pushing Experiments to the Internet's Edge.,NA
nsdi,2013,πBox: A Platform for Privacy-Preserving Apps.,NA
nsdi,2013,P3: Toward Privacy-Preserving Photo Sharing.,NA
nsdi,2013,Embassies: Radically Refactoring the Web.,NA
nsdi,2014,Circuit Switching Under the Radar with REACToR.,NA
nsdi,2014,Catch the Whole Lot in an Action: Rapid Precise Packet Loss Notification in Data Center.,AS
nsdi,2014,High Throughput Data Center Topology Design.,NA
nsdi,2014,Adtributor: Revenue Debugging in Advertising Systems.,NA
nsdi,2014,DECAF: Detecting and Characterizing Ad Fraud in Mobile Apps.,NA
